1,서영교,861125-1234562,010-3579-2867,kt,orange@naver.com,서울,스마트IT
2,인재근,851019-1345673,010-3655-3337,lgu,red@naver.com,대전,컴퓨터정보
3,한정애,840610-2672652,010-4544-3641,sk ,gray@naver.com,청주,정보통신
4,홍정민,951225-1676754,010-1410-7735,kt,coral@naver.com,분당,스마트IT
5,문정복,940910-1090909,010-1452-3800,lgu,blue@naver.com,대전,정보통신
6,송옥주,970602-2353535,010-9955-1905,kt,cyan@naver.com,대전,정보통신
7,정춘숙,981013-2675654,010-1903-4696,sk,deepPink@naver.com,광주,IT융합
8,유정주,950204-1908987,010-4158-1181,sk,brown@naver.com,부산,정보통신
9,배현진,960112-1765432,010-9916-6136,kt,gold@naver.com,서울,정보통신
10,심상정,000724-3654323,010-4368-5786,sk,green@gmail.com,대구,컴퓨터정보
11,김보람,000724-3787654,010-9345-5678,lgu,ivory@gmail.com,서울,제어로봇공학과
12,신현영,881215-1987654,010-9658-9923,kt,indigo@naver.com,대전,정보통신공
13,이재정,971126-1567876,010-1037-3423,lgu,lime@gmail.com,대구,제어로봇공학과
14,한무덕,970726-1098765,010-6700-5127,sk,linen@naver.com,광주,제어로봇공학과
15,임오진,970320-1765432,010-6642-6841,sk,navy@naver.com,부산,정보보안
16,김승진,971119-1098765,010-6607-4428,lgu,olive@naver.com,부산,제어로봇공학과
17,서영덕,971229-1262726,010-4966-1297,kt,orchid@naver.com,광주,스마트IT
18,김민오,970225-1678987,010-5952-9689,sk,plum@naver.com,대전,정보보안
19,전민호,940916-1087457,010-9814-3967,sk,purple@gmail.com,서울,멀티미디어
20,양만복,970424-1787654,010-6629-9854,sk,salmon@naver.com,부산,제어로봇공학과
21,송옥진,991107-2909876,010-2469-1953,sk,skyBlue@naver.com,광주,정보보안
22,강은미,940929-2909765,010-3130-9211,kt,silver@naver.com,대구,정보보안
23,이은주,940329-2987654,010-4023-3314,lgu,teal@naver.com,대구,메카트로닉스
24,권호정,960318-1567643,010-2511-6071,lgu,tomato@naver.com,서울,스마트IT
